Headword|POS|Gender	TLFi sense Ids	TLFi senses	Semantic relation	Wiktionnaire senses	Wiktionnaire sense Ids	
	UND-6	Surface couverte d'herbe courte et fine.	none	(Spécialement) (Histoire) Épaisseur de la végétation, feuilles et racines, qui pouvait être soumis à l’essartage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_gazon__nom__1	
favoriser|verb|						
https://www.cnrtl.fr/definition/33751						
http://kaiko.getalp.org/dbnary/fra/favoriser__verb__1						
	A._UND-2	Donner plus qu'à un autre	narrower	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1	
	A._UND-2	Donner plus qu'à un autre	narrower	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1	
	A._UND-2	Donner plus qu'à un autre	none	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1	
	A._UND-2	Donner plus qu'à un autre	narrower	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1	
	B._1.UND-6	Gratifier (quelqu'un) de (quelque chose).	none	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1	
	B._1.UND-6	Gratifier (quelqu'un) de (quelque chose).	exact	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1	
	B._1.UND-6	Gratifier (quelqu'un) de (quelque chose).	none	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1	
	B._1.UND-6	Gratifier (quelqu'un) de (quelque chose).	exact	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1	
	B._1.b)UND-7	Donner ses faveurs (à quelqu'un), lui manifester son amour par des marques déterminées.	related	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1	
	B._1.b)UND-7	Donner ses faveurs (à quelqu'un), lui manifester son amour par des marques déterminées.	none	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1	
	B._1.b)UND-7	Donner ses faveurs (à quelqu'un), lui manifester son amour par des marques déterminées.	none	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1	
	B._1.b)UND-7	Donner ses faveurs (à quelqu'un), lui manifester son amour par des marques déterminées.	none	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1	
	B._2.UND-12	Soutenir, rendre possible (une action, un comportement).	none	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1	
	B._2.UND-12	Soutenir, rendre possible (une action, un comportement).	none	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1	
	B._2.UND-12	Soutenir, rendre possible (une action, un comportement).	exact	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1	
	B._2.UND-12	Soutenir, rendre possible (une action, un comportement).	none	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1	
	B._2.UND-15	Apporter son aide, être favorable à.	none	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1	
	B._2.UND-15	Apporter son aide, être favorable à.	none	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1	
	B._2.UND-15	Apporter son aide, être favorable à.	exact	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1	
	B._2.UND-15	Apporter son aide, être favorable à.	none	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1	
	B._2.b)UND-14	Être favorable, faciliter l'action de quelqu'un, le déroulement des événements.	none	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1	
	B._2.b)UND-14	Être favorable, faciliter l'action de quelqu'un, le déroulement des événements.	none	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1	
	B._2.b)UND-14	Être favorable, faciliter l'action de quelqu'un, le déroulement des événements.	exact	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1	
	B._2.b)UND-14	Être favorable, faciliter l'action de quelqu'un, le déroulement des événements.	none	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1	
	UND-3	Traiter (quelqu'un) avec une bienveillance particulière.	exact	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1	
	UND-3	Traiter (quelqu'un) avec une bienveillance particulière.	broader	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1	
	UND-3	Traiter (quelqu'un) avec une bienveillance particulière.	none	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1	
	UND-3	Traiter (quelqu'un) avec une bienveillance particulière.	broader	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1	
ajourner|verb|						
https://www.cnrtl.fr/definition/4293						
http://kaiko.getalp.org/dbnary/fra/ajourner__verb__1						
	I._A._UND-1	Assigner quelqu'un à comparaître à un jour fixé et en personne devant un juge, un tribunal	none	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1	
	I._A._UND-1	Assigner quelqu'un à comparaître à un jour fixé et en personne devant un juge, un tribunal	none	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1	
	I._A._UND-1	Assigner quelqu'un à comparaître à un jour fixé et en personne devant un juge, un tribunal	exact	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1	
	I._B._1.UND-2	Remettre à une autre date (déterminée ou indéterminée) la poursuite d'une affaire judiciaire, une sentence, etc. :	none	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1	
	I._B._1.UND-2	Remettre à une autre date (déterminée ou indéterminée) la poursuite d'une affaire judiciaire, une sentence, etc. :	narrower	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1	
	I._B._1.UND-2	Remettre à une autre date (déterminée ou indéterminée) la poursuite d'une affaire judiciaire, une sentence, etc. :	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1	
	I._B._1.UND-3	Ajourner qqn. Renvoyer à plus tard une sentence le concernant :	none	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1	
	I._B._1.UND-3	Ajourner qqn. Renvoyer à plus tard une sentence le concernant :	broader	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1	
	I._B._1.UND-3	Ajourner qqn. Renvoyer à plus tard une sentence le concernant :	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1	
	I._B._UND-4	Remettre à une date ultérieure (déterminée ou indéterminée) une réunion	none	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1	
	I._B._UND-4	Remettre à une date ultérieure (déterminée ou indéterminée) une réunion	none	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1	
	I._B._UND-4	Remettre à une date ultérieure (déterminée ou indéterminée) une réunion	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1	
	I._C._UND-6	Refuser un candidat à un examen et le renvoyer à une session ultérieure	none	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1	
	I._C._UND-6	Refuser un candidat à un examen et le renvoyer à une session ultérieure	none	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1	
	I._C._UND-6	Refuser un candidat à un examen et le renvoyer à une session ultérieure	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1	
	I._D._1.UND-7	Fixer pour cette date une décision concernant une personne	none	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1	
	I._D._1.UND-7	Fixer pour cette date une décision concernant une personne	none	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1	
	I._D._1.UND-7	Fixer pour cette date une décision concernant une personne	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1	
	I._D._2.UND-9	Remettre à plus tard l'examen d'un fait	none	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1	
	I._D._2.UND-9	Remettre à plus tard l'examen d'un fait	exact	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1	
	I._D._2.UND-9	Remettre à plus tard l'examen d'un fait	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1	
	I._UND-11	Remettre à plus tard.	broader	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1	
	I._UND-11	Remettre à plus tard.	broader	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1	
	I._UND-11	Remettre à plus tard.	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1	
	II._UND-13	Remettre à plus tard une décision	none	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1	
	II._UND-13	Remettre à plus tard une décision	broader	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1	
	II._UND-13	Remettre à plus tard une décision	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1	
	III._1.UND-15	[Le suj. désigne une pers.]  Renvoyer à plus tard une décision la concernant elle-même	none	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1	
	III._1.UND-15	[Le suj. désigne une pers.]  Renvoyer à plus tard une décision la concernant elle-même	narrower	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1	
	III._1.UND-15	[Le suj. désigne une pers.]  Renvoyer à plus tard une décision la concernant elle-même	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1	
augmenter|verb|						
https://www.cnrtl.fr/definition/10030						
http://kaiko.getalp.org/dbnary/fra/augmenter__verb__1						
	I._A._UND-1	En accroître l'étendue, l'importance.	narrower	Rendre une quantité plus grande.	http://kaiko.getalp.org/dbnary/fra/__ws_1_augmenter__verb__1	
	I._A._UND-1	En accroître l'étendue, l'importance.	none	Accroitre le salaire d’une personne.	http://kaiko.getalp.org/dbnary/fra/__ws_2_augmenter__verb__1	
	I._A._UND-1	En accroître l'étendue, l'importance.	none	(Intransitif) Devenir plus grand, plus important ou plus intense.	http://kaiko.getalp.org/dbnary/fra/__ws_3_augmenter__verb__1	
	I._A._UND-1	En accroître l'étendue, l'importance.	none	(Intransitif) Pour une marchandise, devenir plus chère.	http://kaiko.getalp.org/dbnary/fra/__ws_4_augmenter__verb__1	
	I._A._UND-1	En accroître l'étendue, l'importance.	none	(Pronominal) S’accroitre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_augmenter__verb__1	
	I._B._UND-3	Rehausser quelqu'un, l'élever, le faire se développer et grandir	narrower	Rendre une quantité plus grande.	http://kaiko.getalp.org/dbnary/fra/__ws_1_augmenter__verb__1	
	I._B._UND-3	Rehausser quelqu'un, l'élever, le faire se développer et grandir	none	Accroitre le salaire d’une personne.	http://kaiko.getalp.org/dbnary/fra/__ws_2_augmenter__verb__1	
	I._B._UND-3	Rehausser quelqu'un, l'élever, le faire se développer et grandir	none	(Intransitif) Devenir plus grand, plus important ou plus intense.	http://kaiko.getalp.org/dbnary/fra/__ws_3_augmenter__verb__1	
	I._B._UND-3	Rehausser quelqu'un, l'élever, le faire se développer et grandir	none	(Intransitif) Pour une marchandise, devenir plus chère.	http://kaiko.getalp.org/dbnary/fra/__ws_4_augmenter__verb__1	
	I._B._UND-3	Rehausser quelqu'un, l'élever, le faire se développer et grandir	none	(Pronominal) S’accroitre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_augmenter__verb__1	
	I._B._UND-4	Donner à quelqu'un un salaire, un traitement plus élevé	narrower	Rendre une quantité plus grande.	http://kaiko.getalp.org/dbnary/fra/__ws_1_augmenter__verb__1	
	I._B._UND-4	Donner à quelqu'un un salaire, un traitement plus élevé	exact	Accroitre le salaire d’une personne.	http://kaiko.getalp.org/dbnary/fra/__ws_2_augmenter__verb__1	
	I._B._UND-4	Donner à quelqu'un un salaire, un traitement plus élevé	none	(Intransitif) Devenir plus grand, plus important ou plus intense.	http://kaiko.getalp.org/dbnary/fra/__ws_3_augmenter__verb__1	
	I._B._UND-4	Donner à quelqu'un un salaire, un traitement plus élevé	none	(Intransitif) Pour une marchandise, devenir plus chère.	http://kaiko.getalp.org/dbnary/fra/__ws_4_augmenter__verb__1	
	I._B._UND-4	Donner à quelqu'un un salaire, un traitement plus élevé	none	(Pronominal) S’accroitre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_augmenter__verb__1	
	I._UND-2	Rendre plus grand (en quantité, en durée, etc.), plus fort (en intensité), en ajoutant à ce qui existe quelque chose de même nature.	narrower	Rendre une quantité plus grande.	http://kaiko.getalp.org/dbnary/fra/__ws_1_augmenter__verb__1	
	I._UND-2	Rendre plus grand (en quantité, en durée, etc.), plus fort (en intensité), en ajoutant à ce qui existe quelque chose de même nature.	broader	Accroitre le salaire d’une personne.	http://kaiko.getalp.org/dbnary/fra/__ws_2_augmenter__verb__1	
	I._UND-2	Rendre plus grand (en quantité, en durée, etc.), plus fort (en intensité), en ajoutant à ce qui existe quelque chose de même nature.	none	(Intransitif) Devenir plus grand, plus important ou plus intense.	http://kaiko.getalp.org/dbnary/fra/__ws_3_augmenter__verb__1	
	I._UND-2	Rendre plus grand (en quantité, en durée, etc.), plus fort (en intensité), en ajoutant à ce qui existe quelque chose de même nature.	none	(Intransitif) Pour une marchandise, devenir plus chère.	http://kaiko.getalp.org/dbnary/fra/__ws_4_augmenter__verb__1	
	I._UND-2	Rendre plus grand (en quantité, en durée, etc.), plus fort (en intensité), en ajoutant à ce qui existe quelque chose de même nature.	none	(Pronominal) S’accroitre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_augmenter__verb__1	
	II._A._2.UND-8	Devenir plus cher.	narrower	Rendre une quantité plus grande.	http://kaiko.getalp.org/dbnary/fra/__ws_1_augmenter__verb__1	
	II._A._2.UND-8	Devenir plus cher.	none	Accroitre le salaire d’une personne.	http://kaiko.getalp.org/dbnary/fra/__ws_2_augmenter__verb__1	
	II._A._2.UND-8	Devenir plus cher.	narrower	(Intransitif) Devenir plus grand, plus important ou plus intense.	http://kaiko.getalp.org/dbnary/fra/__ws_3_augmenter__verb__1	
	II._A._2.UND-8	Devenir plus cher.	broader	(Intransitif) Pour une marchandise, devenir plus chère.	http://kaiko.getalp.org/dbnary/fra/__ws_4_augmenter__verb__1	
	II._A._2.UND-8	Devenir plus cher.	none	(Pronominal) S’accroitre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_augmenter__verb__1	
	II._A._2.UND-9	Devenir plus élevé :	narrower	Rendre une quantité plus grande.	http://kaiko.getalp.org/dbnary/fra/__ws_1_augmenter__verb__1	
	II._A._2.UND-9	Devenir plus élevé :	none	Accroitre le salaire d’une personne.	http://kaiko.getalp.org/dbnary/fra/__ws_2_augmenter__verb__1	
	II._A._2.UND-9	Devenir plus élevé :	narrower	(Intransitif) Devenir plus grand, plus important ou plus intense.	http://kaiko.getalp.org/dbnary/fra/__ws_3_augmenter__verb__1	
	II._A._2.UND-9	Devenir plus élevé :	broader	(Intransitif) Pour une marchandise, devenir plus chère.	http://kaiko.getalp.org/dbnary/fra/__ws_4_augmenter__verb__1	
	II._A._2.UND-9	Devenir plus élevé :	narrower	(Pronominal) S’accroitre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_augmenter__verb__1	
	II._A._UND-7	Devenir plus grand en quantité, qualité, durée, intensité, volume.	narrower	Rendre une quantité plus grande.	http://kaiko.getalp.org/dbnary/fra/__ws_1_augmenter__verb__1	
	II._A._UND-7	Devenir plus grand en quantité, qualité, durée, intensité, volume.	none	Accroitre le salaire d’une personne.	http://kaiko.getalp.org/dbnary/fra/__ws_2_augmenter__verb__1	
	II._A._UND-7	Devenir plus grand en quantité, qualité, durée, intensité, volume.	exact	(Intransitif) Devenir plus grand, plus important ou plus intense.	http://kaiko.getalp.org/dbnary/fra/__ws_3_augmenter__verb__1	
	II._A._UND-7	Devenir plus grand en quantité, qualité, durée, intensité, volume.	broader	(Intransitif) Pour une marchandise, devenir plus chère.	http://kaiko.getalp.org/dbnary/fra/__ws_4_augmenter__verb__1	
	II._A._UND-7	Devenir plus grand en quantité, qualité, durée, intensité, volume.	broader	(Pronominal) S’accroitre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_augmenter__verb__1	
	II._B._2.UND-11	Soumettre une surface plus grande de voile à l'action du vent	narrower	Rendre une quantité plus grande.	http://kaiko.getalp.org/dbnary/fra/__ws_1_augmenter__verb__1	
	II._B._2.UND-11	Soumettre une surface plus grande de voile à l'action du vent	none	Accroitre le salaire d’une personne.	http://kaiko.getalp.org/dbnary/fra/__ws_2_augmenter__verb__1	
	II._B._2.UND-11	Soumettre une surface plus grande de voile à l'action du vent	none	(Intransitif) Devenir plus grand, plus important ou plus intense.	http://kaiko.getalp.org/dbnary/fra/__ws_3_augmenter__verb__1	
	II._B._2.UND-11	Soumettre une surface plus grande de voile à l'action du vent	none	(Intransitif) Pour une marchandise, devenir plus chère.	http://kaiko.getalp.org/dbnary/fra/__ws_4_augmenter__verb__1	
	II._B._2.UND-11	Soumettre une surface plus grande de voile à l'action du vent	none	(Pronominal) S’accroitre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_augmenter__verb__1	
tracasser|verb|						
https://www.cnrtl.fr/definition/86191						
http://kaiko.getalp.org/dbnary/fra/tracasser__verb__1						
	A._UND-1	Se démener inutilement, s'agiter vainement.	exact	(Intransitif) (Vieilli) Aller et venir, s’agiter, se tourmenter pour peu de chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_tracasser__verb__1	
	A._UND-1	Se démener inutilement, s'agiter vainement.	none	(Transitif) ou (Pronominal) (Familier) Inquiéter ou tourmenter quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_2_tracasser__verb__1	
	A._UND-2	S'ingénier à provoquer des difficultés, à susciter des soucis.	none	(Intransitif) (Vieilli) Aller et venir, s’agiter, se tourmenter pour peu de chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_tracasser__verb__1	
	A._UND-2	S'ingénier à provoquer des difficultés, à susciter des soucis.	broader	(Transitif) ou (Pronominal) (Familier) Inquiéter ou tourmenter quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_2_tracasser__verb__1	
	B._1.UND-4	Donner du souci à quelqu'un, lui causer des difficultés.	none	(Intransitif) (Vieilli) Aller et venir, s’agiter, se tourmenter pour peu de chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_tracasser__verb__1	
	B._1.UND-4	Donner du souci à quelqu'un, lui causer des difficultés.	exact	(Transitif) ou (Pronominal) (Familier) Inquiéter ou tourmenter quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_2_tracasser__verb__1	
	B._1.UND-5	Être sollicité, tiraillé par des désirs impérieux.	none	(Intransitif) (Vieilli) Aller et venir, s’agiter, se tourmenter pour peu de chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_tracasser__verb__1	
	B._1.UND-5	Être sollicité, tiraillé par des désirs impérieux.	none	(Transitif) ou (Pronominal) (Familier) Inquiéter ou tourmenter quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_2_tracasser__verb__1	
